,Normalized1
,"Normalize to [0, 1] of B"
CHROMATOGRAM,--
IgY_man-10.raw,--
Data points: 893,--
Time,--
0.016993,9.79E-04
0.124445,8.78E-04
0.232747,8.90E-04
0.340938,7.75E-04
0.449328,7.56E-04
0.557842,7.64E-04
0.665782,7.42E-04
0.774238,8.69E-04
0.882638,7.28E-04
0.990782,8.17E-04
1.099148,8.47E-04
1.207417,8.17E-04
1.315658,8.12E-04
1.424172,7.70E-04
1.53243,8.61E-04
1.640792,8.18E-04
1.74898,7.93E-04
1.857297,7.40E-04
1.965663,8.20E-04
2.07381,8.15E-04
2.181987,8.19E-04
2.290297,0.001207531
2.398437,0.003669583
2.506635,0.002298573
2.612813,9.02E-04
2.71835,0.003854689
2.825518,0.001891146
2.93324,0.001243774
3.041423,9.92E-04
3.149835,9.26E-04
3.258098,6.32E-04
3.366302,5.94E-04
3.474653,6.82E-04
3.58287,7.84E-04
3.691265,8.14E-04
3.799632,8.83E-04
3.90778,8.02E-04
4.016267,9.87E-04
4.124625,0.001064904
4.232857,0.001016433
4.341195,8.67E-04
4.449577,8.75E-04
4.557643,8.61E-04
4.665935,8.51E-04
4.77409,8.60E-04
4.882318,8.40E-04
4.990832,7.51E-04
5.099062,8.49E-04
5.207567,8.14E-04
5.315862,8.27E-04
5.424113,7.60E-04
5.53246,7.27E-04
5.640532,8.24E-04
5.748583,7.75E-04
5.857198,7.69E-04
5.96555,7.89E-04
6.07371,8.20E-04
6.182205,6.74E-04
6.290585,5.16E-04
6.398847,4.65E-04
6.506832,4.58E-04
6.614852,4.98E-04
6.72291,4.89E-04
6.831195,6.17E-04
6.939458,7.10E-04
7.04756,7.91E-04
7.155868,7.59E-04
7.264233,8.24E-04
7.372285,7.26E-04
7.480675,6.83E-04
7.588993,6.54E-04
7.697097,6.84E-04
7.805593,7.22E-04
7.913975,6.46E-04
8.022102,6.80E-04
8.130398,6.08E-04
8.23875,7.08E-04
8.346892,0.001318095
8.45482,0.001084673
8.562992,8.35E-04
8.671237,8.57E-04
8.77928,8.14E-04
8.88761,6.77E-04
8.995777,7.26E-04
9.104123,8.91E-04
9.212347,9.10E-04
9.320577,7.18E-04
9.42905,8.73E-04
9.537415,8.34E-04
9.645525,9.88E-04
9.754012,9.57E-04
9.862228,9.26E-04
9.97037,9.52E-04
10.078593,9.22E-04
10.18696,8.87E-04
10.295178,8.80E-04
10.403535,0.001013868
10.511808,9.53E-04
10.6199,9.70E-04
10.72837,3.77E-04
10.836282,8.81E-05
10.944093,8.96E-04
11.052223,8.97E-04
11.160285,9.03E-04
11.268115,7.45E-04
11.376123,8.37E-04
11.484182,7.99E-04
11.592077,0.001007256
11.700283,8.00E-04
11.808307,9.13E-04
11.916152,9.14E-04
12.024275,9.33E-04
12.132468,9.92E-04
12.24059,9.81E-04
12.348867,9.39E-04
12.457255,9.67E-04
12.56543,9.27E-04
12.673698,0.001116803
12.78207,9.04E-04
12.890292,0.001000335
12.998607,0.001027313
13.106927,0.001165318
13.21503,0.001133984
13.323408,0.001098759
13.431777,0.001018379
13.539998,0.00100719
13.648482,9.17E-04
13.756597,4.46E-04
13.864742,4.78E-05
13.973,0
14.081117,2.52E-05
14.189152,7.52E-05
14.297282,1.28E-04
14.405312,2.35E-04
14.513592,3.68E-04
14.621783,6.56E-04
14.729827,9.08E-04
14.838113,9.26E-04
14.946467,0.0010075
15.054607,0.001112491
15.162765,9.94E-04
15.271137,9.16E-04
15.379283,9.77E-04
15.48765,9.07E-04
15.595892,9.78E-04
15.704328,9.07E-04
15.81256,9.64E-04
15.920705,9.56E-04
16.02919,9.39E-04
16.137552,9.10E-04
16.245613,9.74E-04
16.353942,9.43E-04
16.462027,9.23E-04
