,8E1  1743-f,,8G1  1743-f,,8E2  1743-f,,8D3  1743-f
480.0833,0,480.0833,0,480.0833,0,SPECTRUM - MS,--
480.1667,0,480.1667,8.59E-07,480.1667,0,20201231_Man8_tube39.raw,--
480.25,0,480.25,1.91E-05,480.25,0,ITMS + p ESI Full ms2 1743.50@cid35.00 [480.00-2000.00],--
480.3333,0,480.3333,1.72E-05,480.3333,0,Scan #: 1290-1306,--
480.4167,0,480.4167,3.95E-06,480.4167,0,RT: 28.61-28.96,--
480.5,0,480.5,1.72E-07,480.5,0,AV: 5,--
480.5833,0,480.5833,0,480.5833,0,Data points: 18240,--
480.6667,0,480.6667,0,480.6667,0,Mass,--
480.75,0,480.75,0,480.75,0,480.083333,0
480.8333,0,480.8333,0,480.8333,0,480.166667,0
480.9167,0,480.9167,0,480.9167,0,480.25,0
481,0,481,1.03E-06,481,0,480.333333,0
481.0833,0,481.0833,2.65E-05,481.0833,0,480.416667,0
481.1667,0,481.1667,2.51E-05,481.1667,0,480.5,0
481.25,0,481.25,2.20E-05,481.25,0,480.583333,0
481.3333,0,481.3333,9.62E-05,481.3333,1.17E-05,480.666667,0
481.4167,0,481.4167,5.89E-05,481.4167,1.42E-04,480.75,0
481.5,0,481.5,1.07E-05,481.5,2.66E-04,480.833333,0
481.5833,0,481.5833,0,481.5833,8.11E-05,480.916667,0
481.6667,0,481.6667,0,481.6667,6.46E-06,481,0
481.75,0,481.75,0,481.75,0,481.083333,0
481.8333,0,481.8333,0,481.8333,0,481.166667,0
481.9167,0,481.9167,0,481.9167,0,481.25,0
482,0,482,2.37E-05,482,0,481.333333,0
482.0833,0,482.0833,3.11E-05,482.0833,0,481.416667,0
482.1667,0,482.1667,8.42E-06,482.1667,0,481.5,0
482.25,0,482.25,5.15E-07,482.25,0,481.583333,0
482.3333,0,482.3333,0,482.3333,0,481.666667,0
482.4167,0,482.4167,0,482.4167,0,481.75,0
482.5,0,482.5,0,482.5,0,481.833333,0
482.5833,0,482.5833,0,482.5833,0,481.916667,0
482.6667,0,482.6667,0,482.6667,0,482,0
482.75,0,482.75,0,482.75,0,482.083333,0
482.8333,0,482.8333,7.90E-06,482.8333,6.82E-05,482.166667,0
482.9167,0,482.9167,7.77E-05,482.9167,1.19E-04,482.25,0
483,0,483,1.19E-04,483,4.04E-05,482.333333,0
483.0833,0,483.0833,5.17E-04,483.0833,4.64E-05,482.416667,0
483.1667,0,483.1667,8.81E-04,483.1667,1.03E-04,482.5,0
483.25,0,483.25,0.00100777,483.25,1.84E-04,482.583333,0
483.3333,0,483.3333,8.37E-04,483.3333,6.46E-04,482.666667,0
483.4167,0,483.4167,5.64E-04,483.4167,7.48E-04,482.75,0
483.5,0,483.5,3.25E-04,483.5,2.55E-04,482.833333,0
483.5833,0,483.5833,2.89E-04,483.5833,2.74E-05,482.916667,0
483.6667,0,483.6667,1.54E-04,483.6667,0,483,0
483.75,0,483.75,5.77E-05,483.75,0,483.083333,0
483.8333,0,483.8333,4.11E-05,483.8333,4.76E-05,483.166667,0
483.9167,0,483.9167,2.06E-05,483.9167,4.56E-05,483.25,0
484,0,484,5.91E-05,484,9.28E-06,483.333333,0
