CHROMATOGRAM,Lactoferrin_M9,CHROMATOGRAM,IgY_M9-1,CHROMATOGRAM,IgY_M9-2,CHROMATOGRAM,IgY_M9-3
Lactoferrin_M9.raw,,IgY_M9_1.raw,,IgY_M9_2.raw,,IgY_M9_3.raw,
Data points: 929,,Data points: 922,,Data points: 921,,Data points: 923,
Time,--,Time,--,Time,--,0.021072,0.004774311
0.01713,0.003354138,0.016945,0.12816584,0.017157,0.228428032,0.112763,0.002728178
0.119752,0.002616625,0.117692,0.242981961,0.11545,0.341303022,0.205285,0.005911052
0.223203,2.53E-04,0.22102,0.079202651,0.218608,0.249604491,0.297822,0
0.326533,0.001705775,0.324422,0.05787722,0.321983,0.190786505,0.390222,0.001591437
0.430102,0.001835502,0.427912,0.038108545,0.425597,0.212409306,0.482513,0
0.533423,0.001026225,0.531207,0.067878847,0.528945,0.203036119,0.575035,0
0.636913,0.001889049,0.634698,0.090739709,0.632522,0.242909358,0.667423,0
0.740245,0.002789411,0.73804,0.043418577,0.73601,0.1939109,0.759712,6.82E-04
0.843705,0.001308313,0.841563,0.003817252,0.839367,0.242760577,0.852102,0.002046133
0.947175,9.36E-04,0.944915,0.079735786,0.942983,0.175362901,0.944383,0.002728178
1.050505,0.003519747,1.048425,0.063251228,1.046328,0.126761192,1.036927,0.007275141
1.154053,9.22E-04,1.151898,0.058986142,1.149653,0.159740923,1.129297,0.002273482
1.257508,0.001918858,1.255228,0.03412069,1.252968,0.263738662,1.221578,0.002273482
1.360863,0.001153192,1.3587,0.059775183,1.356417,0.288138703,1.314088,0.003410222
1.464433,0.001118414,1.462253,0.036103955,1.459758,0.26274679,1.406485,0
1.567783,0.001274087,1.565748,0.139894827,1.563327,0.23061015,1.498885,0.001818785
1.671333,0.001110134,1.6691,0.079479881,1.666818,0.095864391,1.591207,0.004546963
1.774822,0.002216955,1.772575,0.080375549,1.770263,0.191034472,1.683592,0.007502489
1.878293,0.001141599,1.87591,0.101039892,1.873783,0.124430294,1.775865,0.003637571
1.981632,0.003650026,1.979412,0.083744967,1.977117,0.197432044,1.868353,6.82E-04
2.084937,7.22E-04,2.082762,0.075790582,2.080607,0.073745654,1.960625,0.005683704
2.188407,0.001872488,2.186107,0.078136379,2.18395,0.236363005,2.052902,0
2.291867,0.002539893,2.289342,0.067047155,2.28729,0.264581753,2.145427,0
2.395213,0.001273535,2.392882,0.332847327,2.390625,0.566606658,2.237827,0.005911052
2.498757,3.09E-04,2.495993,0.940686086,2.493583,2.025401832,2.330085,0
2.602097,0.002394157,2.596402,0.781406442,2.596547,1.084562014,2.422525,0.001136741
2.705617,0.001852063,2.698822,0.358459169,2.69994,0.764237077,2.514742,0.004319615
2.808955,0.00255535,2.801333,0.1843157,2.803275,0.523509837,2.605413,0.017505809
2.912475,0.002876079,2.904802,0.109463437,2.906795,0.496977271,2.695882,0.020461335
3.015977,0.002209226,3.008122,0.138764579,3.010295,0.305099708,2.786568,0.0061384
3.119305,0.002167272,3.11145,0.119273135,3.11366,0.135886411,2.878762,0.00500166
3.222818,0.002580743,3.214782,0.096390948,3.217227,0.183397061,2.971165,0.001591437
3.326152,0.001954188,3.31826,0.023436649,3.320535,0.175412495,3.063493,0.001591437
3.429483,0.001901745,3.42159,0.049432349,3.424117,0.21801338,3.15577,0.007957186
3.533035,0.003728967,3.525128,0.055211541,3.527447,0.213153209,3.248305,0
3.63667,7.13E-04,3.628622,0.052545862,3.631025,0.277277709,3.340697,0.001136741
3.74002,0.001974613,3.732115,0.070672478,3.734502,0.133307545,3.433078,0.005683704
3.843385,8.26E-04,3.835438,0.088479213,3.837903,0.056040746,3.525368,0.002728178
3.946892,0.001369036,3.938907,0.005480636,3.941532,0.273905346,3.61776,0.003864919
4.050205,0.002368211,4.042272,0.060713502,4.045017,0.268896394,3.710037,0.004092267
4.15379,7.46E-04,4.145753,0.094429008,4.14838,0.149375865,3.802545,0.002046133
4.257108,0.001064315,4.249075,0.100080248,4.25187,0.113668487,3.894913,0.001136741
4.360667,0.003709646,4.352537,0.150088383,4.355243,0.232544299,3.987187,0
4.464163,0.003163687,4.455865,0.027765711,4.45882,0.202540183,4.079595,0.005229008
4.567637,0.00101408,4.55939,0.145268836,4.562205,0.203085713,4.171987,0.001818785
4.670873,0.001790235,4.662732,0,4.665548,0.192026344,4.264412,9.09E-04
4.774395,0.002224683,4.766285,0.047257155,4.769128,0.275194779,4.357075,0
4.877725,0.002865591,4.869758,0.056235161,4.872368,0.198275135,4.449487,0.007047793
4.981203,8.80E-04,4.973102,0.097179989,4.975712,0.316754199,4.54167,0.001364089
5.084635,0.001921066,5.076522,0.085451002,5.0793,0.185827147,4.634187,0.001591437
5.187977,0.001669341,5.179873,0.040731573,5.182668,0.220046717,4.726578,0.002046133
5.291533,0.001668236,5.283447,0.073274181,5.285988,0.148582367,4.818858,0.004774311
5.395003,0.001932659,5.38679,0.101253146,5.389532,0.189348291,4.91139,0.002955526
5.498345,0.003340337,5.490147,0.065724978,5.492848,0.265524031,5.003675,0
5.601932,0.002662996,5.593777,0.109036929,5.596212,0.185430398,5.096202,0.001364089
5.705427,0.003397196,5.697247,0.060244343,5.699717,0.096806669,5.1886,0.003637571
5.808778,3.63E-04,5.800597,0.024417618,5.80306,0.220939402,5.280878,0
5.912113,0.004106556,5.904013,0.054891659,5.906743,0.162270196,5.373417,0
6.015655,0.002894848,6.007268,0.084534008,6.010092,0.29612327,5.465802,0.002728178
6.11914,5.52E-04,6.110858,0.085301724,6.113673,0.247124812,5.558082,0.002728178
6.222673,0.001101301,6.21434,0.054038642,6.217173,0.192819841,5.650502,6.82E-04
6.326012,9.27E-04,6.317698,0.078434935,6.320518,0.187215767,5.742798,0.00250083
6.429502,5.66E-04,6.421215,0.094770215,6.424105,0.355486786,5.835078,0.001591437
6.532977,0.002524436,6.52456,0.051074407,6.527723,0.18642227,5.927575,0
6.636298,0.004358834,6.62807,0.059242047,6.63108,0.134745759,6.019963,0
6.73978,0.0019437,6.731405,0.070949709,6.734577,0.272119977,6.112388,0.001364089
6.843135,0.00125863,6.834917,0.057514687,6.837935,0.287246019,6.204832,0
6.946673,0.002319633,6.938353,0.079245302,6.941498,0.331533086,6.297228,0.005456356
7.050012,0.001885737,7.041932,0.086026789,7.044847,0.217715819,6.389515,0.004546963
7.153203,0.001858135,7.14537,0.063933642,7.1482,0.233189016,6.481932,0
7.256805,0.001624626,7.248693,0.132324299,7.251748,0.335847728,6.574335,0
7.360148,0.003638986,7.35223,0.080290248,7.355125,0.167973458,6.666622,0
7.46373,0.001638979,7.455505,0.041179407,7.458713,0.21925322,6.759028,0.002728178
7.567192,0.003320464,7.559053,0.126225226,7.562233,0.161030356,6.851435,0.002273482
7.670678,0.00179962,7.662415,0.035122985,7.665577,0.252431325,6.943703,0
7.774253,0.001565559,7.765975,0.104324008,7.76908,0.234428856,7.03624,0
7.877755,0.001479442,7.869488,0.054443825,7.87241,0.422884462,7.128525,0
